"Timestamp","Age","Gender","Shopping Platform ","Product Category","Delivery Rating","Product Quality Rating","Price Satisfaction Rating","Overall Rating","Would you purchase again?","Write a small review."
"2026/05/05 1:57:03 PM GMT+5:30","19","Male","Amazon","Electronics","5","4","4","9","Yes","To be honest i am purchasing so many things from my teenage in amazon. They were awesome but, in few cases, there exist some package fault or misplaced products."
"2026/05/05 2:07:02 PM GMT+5:30","51","Male","Amazon","Electronics","4","4","4","5","Maybe","Good  service and timely delivery the products"
"2026/05/05 2:08:00 PM GMT+5:30","45","Female","Amazon","Accessories","4","5","5","6","Yes","Flexible to shop at anytime anywhere "
"2026/05/05 2:31:56 PM GMT+5:30","23","Male","Zepto","","5","5","5","10","Yes","Zepto was amazing, it plays a major role for buying groceries through online. "
"2026/05/05 2:34:02 PM GMT+5:30","25","Male","Flipkart","Clothing","4","4","4","8","Yes","Good "
"2026/05/05 3:18:35 PM GMT+5:30","VISHALI S ","Female","Meesho","Clothing","5","4","5","10","Yes","Good "
"2026/05/05 3:27:15 PM GMT+5:30","20","Female","Amazon","Accessories","3","3","3","3","Maybe","Can get products in affordable price "
"2026/05/05 6:17:31 PM GMT+5:30","24","Female","Amazon","Electronics","5","5","4","8","Yes","I recently bought this electronic product and overall, it’s been a good experience so far. 
Overall, I’m satisfied with this purchase and would recommend it to anyone looking for a budget-friendly electronic device.
Amazon is a very convenient platform for online shopping.
Delivery is usually fast and reliable.
The return and refund process is simple and user-friendly."
"2026/05/05 7:13:28 PM GMT+5:30","19","Male","Amazon","Electronics","4","4","3","8","Yes","I always prefer to buy through the amazon only because of their product quality and deliver mode"
"2026/05/05 8:47:24 PM GMT+5:30","19","Male","Blinkit","Groceries","3","1","1","3","No","I recently purchased Skimmed milk but the manufacturing date was expired it seems ."
"2026/05/05 9:00:59 PM GMT+5:30","30","Female","Zepto","Groceries","4","4","3","7","Yes","The products they provide with quality and price is genuine."
"2026/05/05 9:03:36 PM GMT+5:30","19","Male","Amazon","Accessories","5","4","4","8","Yes","Recently I bought a new smart watch. It was worth of money and all mentioned specifications present."
"2026/05/05 9:06:01 PM GMT+5:30","28","Female","Meesho","Cosmetics","4","3","4","4","No","I'm not satisfied with the quality.."
"2026/05/05 9:11:12 PM GMT+5:30","39","Male","Zepto","Groceries","3","2","3","5","No","I purchased few vegetables some were good and few were rotten , swollen."
"2026/05/05 9:13:52 PM GMT+5:30","27","Male","Myntra","Cosmetics","4","3","3","5","No","They can improve the quality "
"2026/05/05 9:17:40 PM GMT+5:30","40","Female","Meesho","Clothing","4","3","5","9","Yes","Good"
"2026/05/05 9:18:43 PM GMT+5:30","26","Male","Blinkit","Accessories","3","4","4","8","Maybe","The products they provide is good ."
"2026/05/05 9:19:49 PM GMT+5:30","22","Female","Myntra","Clothing","4","4","5","8","Yes","Good service."
"2026/05/05 9:20:31 PM GMT+5:30","27","Female","Zepto","Electronics","4","3","4","6","Maybe","Good"
"2026/05/05 9:26:55 PM GMT+5:30","21","Female","Blinkit","Clothing","4","3","3","3","No","Dont buy "
"2026/05/05 9:29:38 PM GMT+5:30","22","Female","Meesho","Clothing","5","5","5","10","Yes","Awesome "
"2026/05/05 9:31:01 PM GMT+5:30","60","Male","Meesho","Electronics","5","4","2","5","No","Unworthy "
"2026/05/05 9:33:21 PM GMT+5:30","18","Male","Amazon","Electronics","5","4","4","9","Yes","Very well packed and nice experience "
"2026/05/05 9:33:49 PM GMT+5:30","18","Male","Blinkit","Cosmetics","4","4","4","7","Yes","Good "
"2026/05/05 9:59:12 PM GMT+5:30","25","Female","Flipkart","Accessories","1","4","4","8","Maybe","Delivery stuff can be improved "
"2026/05/05 10:00:01 PM GMT+5:30","37","Female","Zepto","Cosmetics","3","3","3","5","Maybe","Maybe this was my first experience.."
"2026/05/05 10:00:35 PM GMT+5:30","29","Female","Myntra","Clothing","4","3","4","8","Yes","Good one "
"2026/05/05 10:01:09 PM GMT+5:30","24","Male","Amazon","Electronics","4","4","4","8","Yes","Always available "
"2026/05/05 10:02:03 PM GMT+5:30","20","Female","Blinkit","Groceries","3","4","4","6","Maybe","Well defined ."
"2026/05/05 10:03:04 PM GMT+5:30","46","Male","Flipkart","Clothing","3","4","4","4","Maybe","Got the worst luck "
"2026/05/05 10:21:29 PM GMT+5:30","20","Male","Flipkart","Electronics","5","5","4","9","Yes","Great Delivery "
